#p	Q	delta p	delta Q
576.98177095	0.8888888889	10.1988720849	0.0541523758
792.12751605	1.3428571429	10.5561717633	0.100083264
1075.7287255	1.7142857143	11.1700094268	0.0708798163
1173.522246	1.9	11.4152030769	0.1073545528
1251.7570624	1.9583333333	11.6225545035	0.0916199639
1349.5505829	2.15	11.8948855501	0.0734102343
1447.3441034	2.4	12.180902054	0.0781024968
1545.1376239	2.5625	12.4796630959	0.1015812783
1652.71049645	2.7857142857	12.8219558386	0.1224755498
1740.7246649	2.9230769231	13.1118974172	0.1362232477
1838.5181854	3.0714285714	13.4437383429	0.1308999144
1955.87041	3.1666666667	13.8544012576	0.1560569795
2063.44328255	3.4545454545	14.2418301455	0.1814421355
2161.23680305	3.5	14.6024335754	0.2015564437
2288.3683797	3.7272727273	15.0821986618	0.1922709111
2435.05866045	4.1	15.6498124958	0.2280898946
2581.7489412	4.2	16.230958653	0.232594067

