#p	Q	delta p	delta Q
244.48380125	1.3428571429	9.8559905679	0.100083264
391.174082	2.6875	9.9743708987	0.1792198398
488.9676025	3.2857142857	10.082411455	0.2453227608
586.761123	3.9	10.2129089984	0.21914607
713.89269965	4.6	10.4147229488	0.2507987241
811.68622015	5.125	10.5935118681	0.3438387669
909.47974065	5.125	68.6073971937	0.3438387669
1173.522246	5.3333333333	293.4396445623	0.3164445832
1466.9028075	6.125	195.725481875	0.402703874
2171.0161551	7.3333333333	40.6058318845	0.174027279
2268.8096756	7.5833333333	22.6304198622	0.1786170645
2474.17606865	7.6	23.1658910434	0.1431394037
2611.08699735	7.76	23.5411701628	0.1746053837

