#p	Q	delta p	delta Q
156.4696328	0.5333333333	9.810815575	0.0222222222
342.27732175	5.3333333333	9.9290070345	0.1111111111
488.9676025	6.6666666667	58.7273824453	0.1295767088
586.761123	7.4666666667	58.7499271347	0.1411767127
664.9959394	7.76	58.7709064185	0.1746053837
782.348164	8.4	29.5995089806	0.1860752536
880.1416845	9.04	10.730248824	0.1977084723
987.71455705	9.9	10.9634326147	0.2669386634
1105.06678165	10.4	11.2418803467	0.2785677655
1241.97771035	11.3	11.5961116404	0.2996769094
1329.9918788	11.7777777778	11.8392936003	0.3455136289
1418.00604725	12.1176470588	12.093717005	0.3753169021
1496.24086365	12.6666666667	12.3287464884	0.3689788675
1564.696328	13.0666666667	12.5408651791	0.4555067725

